step,epoch,tokens,lr,mixing_step,gamma
7560,25,247332864,0.0020675760477198595,7559,0.226544532622256
7580,25,247988224,0.0020565226512163585,7579,0.22412876364246712
7600,25,248643584,0.0020454857124489103,7599,0.22172951214017975
7620,25,249298944,0.0020344655427287006,7619,0.21934678748722922
7640,25,249954304,0.0020234624528939226,7639,0.21698059758786073
7660,25,250609664,0.002012476753301006,7659,0.2146309488851968
7680,25,251265024,0.002001508753815871,7679,0.21229784636786028
7700,25,251920384,0.0019905587638051796,7699,0.20998129357674614
7720,25,252575744,0.001979627092127616,7719,0.20768129261194881
7740,25,253231104,0.0019687140471251695,7739,0.2053978441398364
7760,25,253886464,0.0019578199366144427,7759,0.20313094740027768
7780,25,254541824,0.0019469450678779616,7779,0.20088060021401427
7800,25,255180800,0.0019363608899557363,7799,0.1987024424040611
7820,26,255836160,0.0019255249243409717,7819,0.1964847686957659
7840,26,256491520,0.0019147091114231993,7839,0.1942836297409062
7860,26,257146880,0.001903913756276462,7859,0.1920990177949986
7880,26,257802240,0.0018931391633977654,7879,0.18993092373328982
7900,26,258457600,0.0018823856366984896,7899,0.1877793370589959
7920,26,259112960,0.0018716534794958124,7919,0.18564424591168155
7940,26,259768320,0.001860942994504162,7939,0.18352563707578132
7960,26,260423680,0.0018502544838266699,7959,0.1814234959892564
7980,26,261079040,0.0018395882489466555,7979,0.17933780675239164
8000,26,261734400,0.0018289445907191193,7999,0.17726855213672713
8020,26,262389760,0.0018183238093622581,8019,0.17521571359412544
8040,26,263045120,0.0018077262044489976,8039,0.17317927126597288
8060,26,263700480,0.0017971520748985416,8059,0.17115920399251267
8080,26,264355840,0.0017866017189679408,8079,0.16915548932231006
8100,26,265011200,0.00177607543424368,8099,0.167168103521847
8112,26,265388032,0.0017700338356959214,8111,0.16603274093627657
8120,27,265650176,0.001765835766184029,8119,0.16524610013849944
8140,27,266305536,0.0017553578936947178,8139,0.16329088918770385
8160,27,266960896,0.0017449049736843972,8159,0.1613519290146753
8180,27,267616256,0.0017344773009912461,8179,0.159429190887005
8200,27,268271616,0.0017240751697413063,8199,0.15752264483982323
8220,27,268926976,0.001713698873340197,8219,0.15563225968614625
8240,27,269582336,0.001703348704464825,8239,0.15375800302733905
8260,27,270237696,0.0016930249550551394,8259,0.15189984126370285
8280,27,270893056,0.0016827279163058955,8279,0.1500577396051772
8300,27,271548416,0.0016724578786584373,8299,0.14823166208215977
8320,27,272203776,0.001662215131792508,8319,0.14642157155644137
8340,27,272859136,0.001651999964618081,8339,0.1446274297322555
8360,27,273514496,0.0016418126652672056,8359,0.1428491971674384
8380,27,274169856,0.0016316535210858846,8379,0.1410868332847022
8400,27,274825216,0.0016215228186259676,8399,0.13934029638301626
8420,27,275480576,0.0016114208436370692,8419,0.13760954364909664
8424,27,275595264,0.0016096559728087719,8423,0.13730828147391252
8440,28,276119552,0.0016015993492529015,8439,0.13593721500551467
8460,28,276774912,0.0015915549473362674,8459,0.1342375059522148
8480,28,277430272,0.0015815401181733624,8479,0.13255344723482784
8500,28,278085632,0.0015715551442454455,8499,0.13088499173454587
8520,28,278740992,0.0015616003071916673,8519,0.12923209127902102
8540,28,279396352,0.0015516758878011284,8539,0.12759469665446946
8560,28,280051712,0.0015417821660049633,8559,0.12597275761787272
8580,28,280707072,0.0015319194208684376,8579,0.12436622290927335
8600,28,281362432,0.0015220879305830797,8599,0.12277504026416586
8620,28,282017792,0.001512287972458837,8619,0.12119915642598106
8640,28,282673152,0.00150251982291625,8639,0.11963851715865977
8660,28,283328512,0.0014927837574786568,8659,0.11809306725931684
8680,28,283983872,0.0014830800507644203,8679,0.11656275057099312
8700,28,284639232,0.0014734089764791881,8699,0.11504750999549405
8720,28,285294592,0.0014637708074081617,8719,0.11354728750631088
8736,28,285802496,0.0014563240319918763,8735,0.11239490723674296
8740,29,285933568,0.001454405533687198,8739,0.11209897390898739
8760,29,286588928,0.0014448331501858813,8759,0.1106282381187653
8780,29,287244288,0.0014352944779170483,8779,0.10917234242497147
8800,29,287899648,0.0014257897859313326,8799,0.10773122524043757
8820,29,288555008,0.001416319342320908,8819,0.10630482411517198
8840,29,289210368,0.0014068834142119328,8839,0.10489307574975401
8860,29,289865728,0.001397482267757007,8859,0.10349591600879925
8880,29,290521088,0.0013881161681276709,8879,0.10211327993449815
8900,29,291176448,0.0013787853795069218,8899,0.10074510176022276
8920,29,291831808,0.0013694901650817678,8919,0.09939131492420275
8940,29,292487168,0.0013602307870357955,8939,0.09805185208326533
8960,29,293142528,0.0013510075065417842,8959,0.09672664512664238
8980,29,293797888,0.001341820583754333,8979,0.09541562518983789
9000,29,294453248,0.0013326702778025242,8999,0.0941187226685574
9020,29,295108608,0.0013235568467826156,9019,0.09283586723269677
9040,29,295763968,0.0013144805477507617,9039,0.09156698784038812
9048,29,296009728,0.001311086560989838,9047,0.09109474664679493
9060,30,296402944,0.001305667151777633,9059,0.09034321825029634
9080,30,297058304,0.001296664939521169,9079,0.08910173013402341
9100,30,297713664,0.0012877006177739122,9099,0.08787400264174923
9120,30,298369024,0.001278774439386193,9119,0.08665996204229784
9140,30,299024384,0.0012698866561324617,9139,0.08545953396340088
9160,30,299679744,0.001261037518704181,9159,0.08427264340604894
9180,30,300335104,0.0012522272767027597,9179,0.08309921475888989
9200,30,300990464,0.001243456178632511,9199,0.08193917181266894
9220,30,301645824,0.0012347244718936415,9219,0.08079243777471094
9240,30,302301184,0.0012260324027752747,9239,0.07965893528344205
9260,30,302956544,0.0012173802164485042,9259,0.07853858642294963
